
{'Nombre: ': 'OSCAR', 'matemáticas': 7, 'FQ': 6, 'EF': 7, 'plástica': 1, 'historia': 0, 'geografía': 2, 'castellano': 7, 'TIC': 6, 'Cuci': 3, 'biología': 4}
{'Nombre: ': 'OSCAR', 'matemáticas': 3, 'FQ': 4, 'EF': 7, 'plástica': 1, 'historia': 4, 'geografía': 6, 'castellano': 9, 'TIC': 2, 'Cuci': 1, 'biología': 10}
{'Nombre: ': 'MARIA DEL CARMEN', 'matemáticas': 0, 'FQ': 0, 'EF': 4, 'plástica': 5, 'historia': 0, 'geografía': 6, 'castellano': 5, 'TIC': 4, 'Cuci': 6, 'biología': 6}
{'Nombre: ': 'ANTONIO', 'matemáticas': 2, 'FQ': 4, 'EF': 3, 'plástica': 9, 'historia': 4, 'geografía': 4, 'castellano': 4, 'TIC': 10, 'Cuci': 8, 'biología': 2}
{'Nombre: ': 'MARIA', 'matemáticas': 1, 'FQ': 2, 'EF': 8, 'plástica': 4, 'historia': 4, 'geografía': 1, 'castellano': 9, 'TIC': 10, 'Cuci': 10, 'biología': 0}
{'Nombre: ': 'MANUEL', 'matemáticas': 7, 'FQ': 8, 'EF': 5, 'plástica': 0, 'historia': 2, 'geografía': 9, 'castellano': 8, 'TIC': 9, 'Cuci': 9, 'biología': 8}
{'Nombre: ': 'CARMEN', 'matemáticas': 7, 'FQ': 1, 'EF': 5, 'plástica': 9, 'historia': 7, 'geografía': 5, 'castellano': 8, 'TIC': 7, 'Cuci': 3, 'biología': 1}
{'Nombre: ': 'JOSE', 'matemáticas': 1, 'FQ': 9, 'EF': 9, 'plástica': 1, 'historia': 9, 'geografía': 1, 'castellano': 7, 'TIC': 5, 'Cuci': 2, 'biología': 7}
{'Nombre: ': 'ANA MARIA', 'matemáticas': 0, 'FQ': 6, 'EF': 3, 'plástica': 8, 'historia': 6, 'geografía': 3, 'castellano': 7, 'TIC': 1, 'Cuci': 10, 'biología': 8}
{'Nombre: ': 'FRANCISCO', 'matemáticas': 4, 'FQ': 2, 'EF': 6, 'plástica': 5, 'historia': 5, 'geografía': 7, 'castellano': 1, 'TIC': 5, 'Cuci': 6, 'biología': 2}
{'Nombre: ': 'MARIA PILAR', 'matemáticas': 5, 'FQ': 8, 'EF': 9, 'plástica': 9, 'historia': 10, 'geografía': 5, 'castellano': 8, 'TIC': 8, 'Cuci': 8, 'biología': 5}
{'Nombre: ': 'DAVID', 'matemáticas': 7, 'FQ': 2, 'EF': 10, 'plástica': 2, 'historia': 2, 'geografía': 1, 'castellano': 1, 'TIC': 2, 'Cuci': 0, 'biología': 10}
{'Nombre: ': 'LAURA', 'matemáticas': 4, 'FQ': 5, 'EF': 8, 'plástica': 1, 'historia': 6, 'geografía': 0, 'castellano': 5, 'TIC': 3, 'Cuci': 8, 'biología': 8}
{'Nombre: ': 'PILAR', 'matemáticas': 7, 'FQ': 8, 'EF': 9, 'plástica': 2, 'historia': 3, 'geografía': 1, 'castellano': 10, 'TIC': 6, 'Cuci': 9, 'biología': 9}


{'Nombre: ': 'OSCAR', 'matemáticas': 2, 'FQ': 0, 'EF': 0, 'plástica': 7, 'historia': 6, 'geografía': 7, 'castellano': 2, 'TIC': 1, 'Cuci': 5, 'biología': 3}
{'Nombre: ': 'MARIA DEL CARMEN', 'matemáticas': 7, 'FQ': 8, 'EF': 9, 'plástica': 9, 'historia': 8, 'geografía': 1, 'castellano': 5, 'TIC': 4, 'Cuci': 4, 'biología': 6}
{'Nombre: ': 'ANTONIO', 'matemáticas': 8, 'FQ': 5, 'EF': 10, 'plástica': 9, 'historia': 1, 'geografía': 1, 'castellano': 8, 'TIC': 7, 'Cuci': 3, 'biología': 10}
{'Nombre: ': 'MARIA', 'matemáticas': 0, 'FQ': 6, 'EF': 1, 'plástica': 5, 'historia': 9, 'geografía': 10, 'castellano': 8, 'TIC': 8, 'Cuci': 6, 'biología': 10}
{'Nombre: ': 'MANUEL', 'matemáticas': 2, 'FQ': 2, 'EF': 6, 'plástica': 2, 'historia': 2, 'geografía': 10, 'castellano': 10, 'TIC': 10, 'Cuci': 6, 'biología': 9}
{'Nombre: ': 'CARMEN', 'matemáticas': 0, 'FQ': 9, 'EF': 4, 'plástica': 7, 'historia': 4, 'geografía': 1, 'castellano': 2, 'TIC': 8, 'Cuci': 5, 'biología': 5}
{'Nombre: ': 'JOSE', 'matemáticas': 3, 'FQ': 7, 'EF': 9, 'plástica': 7, 'historia': 2, 'geografía': 4, 'castellano': 2, 'TIC': 5, 'Cuci': 0, 'biología': 9}
{'Nombre: ': 'ANA MARIA', 'matemáticas': 1, 'FQ': 6, 'EF': 3, 'plástica': 3, 'historia': 1, 'geografía': 3, 'castellano': 6, 'TIC': 3, 'Cuci': 3, 'biología': 4}
{'Nombre: ': 'FRANCISCO', 'matemáticas': 4, 'FQ': 0, 'EF': 2, 'plástica': 1, 'historia': 3, 'geografía': 4, 'castellano': 0, 'TIC': 0, 'Cuci': 3, 'biología': 4}
{'Nombre: ': 'MARIA PILAR', 'matemáticas': 7, 'FQ': 10, 'EF': 7, 'plástica': 5, 'historia': 9, 'geografía': 9, 'castellano': 9, 'TIC': 1, 'Cuci': 1, 'biología': 8}
{'Nombre: ': 'DAVID', 'matemáticas': 10, 'FQ': 7, 'EF': 4, 'plástica': 5, 'historia': 2, 'geografía': 7, 'castellano': 6, 'TIC': 2, 'Cuci': 5, 'biología': 5}
{'Nombre: ': 'LAURA', 'matemáticas': 7, 'FQ': 8, 'EF': 10, 'plástica': 9, 'historia': 4, 'geografía': 7, 'castellano': 9, 'TIC': 0, 'Cuci': 6, 'biología': 2}
{'Nombre: ': 'PILAR', 'matemáticas': 9, 'FQ': 2, 'EF': 1, 'plástica': 5, 'historia': 9, 'geografía': 6, 'castellano': 0, 'TIC': 9, 'Cuci': 1, 'biología': 7}


{'Nombre: ': 'OSCAR', 'matemáticas': 6, 'FQ': 0, 'EF': 2, 'plástica': 0, 'historia': 6, 'geografía': 8, 'castellano': 0, 'TIC': 5, 'Cuci': 7, 'biología': 1}
{'Nombre: ': 'MARIA DEL CARMEN', 'matemáticas': 1, 'FQ': 0, 'EF': 10, 'plástica': 4, 'historia': 6, 'geografía': 2, 'castellano': 2, 'TIC': 4, 'Cuci': 6, 'biología': 0}
{'Nombre: ': 'ANTONIO', 'matemáticas': 5, 'FQ': 3, 'EF': 7, 'plástica': 0, 'historia': 4, 'geografía': 3, 'castellano': 0, 'TIC': 4, 'Cuci': 2, 'biología': 5}
{'Nombre: ': 'MARIA', 'matemáticas': 10, 'FQ': 9, 'EF': 5, 'plástica': 10, 'historia': 6, 'geografía': 3, 'castellano': 1, 'TIC': 5, 'Cuci': 5, 'biología': 9}
{'Nombre: ': 'MANUEL', 'matemáticas': 4, 'FQ': 1, 'EF': 3, 'plástica': 4, 'historia': 0, 'geografía': 10, 'castellano': 1, 'TIC': 2, 'Cuci': 1, 'biología': 10}
{'Nombre: ': 'CARMEN', 'matemáticas': 0, 'FQ': 10, 'EF': 3, 'plástica': 8, 'historia': 5, 'geografía': 10, 'castellano': 9, 'TIC': 8, 'Cuci': 5, 'biología': 2}
{'Nombre: ': 'JOSE', 'matemáticas': 4, 'FQ': 4, 'EF': 5, 'plástica': 0, 'historia': 5, 'geografía': 9, 'castellano': 7, 'TIC': 9, 'Cuci': 10, 'biología': 5}
{'Nombre: ': 'ANA MARIA', 'matemáticas': 9, 'FQ': 3, 'EF': 3, 'plástica': 9, 'historia': 1, 'geografía': 5, 'castellano': 0, 'TIC': 5, 'Cuci': 0, 'biología': 8}
{'Nombre: ': 'FRANCISCO', 'matemáticas': 3, 'FQ': 0, 'EF': 4, 'plástica': 7, 'historia': 9, 'geografía': 7, 'castellano': 0, 'TIC': 0, 'Cuci': 1, 'biología': 7}
{'Nombre: ': 'MARIA PILAR', 'matemáticas': 2, 'FQ': 5, 'EF': 7, 'plástica': 5, 'historia': 4, 'geografía': 9, 'castellano': 1, 'TIC': 5, 'Cuci': 8, 'biología': 3}
{'Nombre: ': 'DAVID', 'matemáticas': 0, 'FQ': 5, 'EF': 0, 'plástica': 7, 'historia': 3, 'geografía': 1, 'castellano': 5, 'TIC': 6, 'Cuci': 4, 'biología': 7}
{'Nombre: ': 'LAURA', 'matemáticas': 7, 'FQ': 9, 'EF': 2, 'plástica': 10, 'historia': 9, 'geografía': 5, 'castellano': 9, 'TIC': 4, 'Cuci': 2, 'biología': 8}
{'Nombre: ': 'PILAR', 'matemáticas': 8, 'FQ': 4, 'EF': 1, 'plástica': 4, 'historia': 8, 'geografía': 5, 'castellano': 3, 'TIC': 6, 'Cuci': 1, 'biología': 10}



